Country,Weighted_Medals,Gold,Silver,Bronze,Population,"Population per
Weighted Medal"
Grenada,4,1,0,0,110821,27705
Bahamas,4,1,0,0,353658,88414
Jamaica,28,4,4,4,2705827,96636
New Zealand,33,6,2,5,4432620,134321
Trinidad and Tobago,7,1,0,3,1317714,188244
Hungary,46,8,4,6,9962000,216565
Slovenia,8,1,1,2,2057540,257192
Lithuania,12,2,1,2,3192800,266066
Croatia,16,3,1,2,4290612,268163
Denmark,19,2,4,3,5580516,293711
Montenegro,2,0,1,0,620029,310014
Australia,72,7,16,12,22880619,317786
Georgia,13,1,3,3,4469200,343784
Cuba,32,5,3,6,11241161,351286
Great Britain,169,29,17,19,62262000,368414
Netherlands,44,6,6,8,16731770,380267
Mongolia,7,0,2,3,2736800,390971
Belarus,23,2,5,5,9461400,411365
Latvia,5,1,0,1,2070371,414074
Cyprus,2,0,1,0,838897,419448
Czech Republic,25,4,3,3,10504203,420168
Estonia,3,0,1,1,1318005,439335
Norway,11,2,1,1,5005700,455063
Ireland,10,1,1,4,4588252,458825
Kazakhstan,35,7,1,5,16718000,477657
Azerbaijan,18,2,2,6,9111100,506172
Sweden,15,1,4,3,9490683,632712
South Korea,75,13,8,7,48580000,647733
Switzerland,12,2,2,0,7870100,655841
Gabon,2,0,1,0,1534000,767000
Russian Federation,178,24,25,32,143056383,803687
Armenia,4,0,1,2,3268500,817125
France,78,11,11,12,65350000,837820
Qatar,2,0,0,2,1699435,849717
Germany,96,11,19,14,81831000,852406
Serbia,8,1,1,2,7120666,890083
Romania,20,2,5,2,19042936,952146
Italy,61,8,9,11,60776531,996336
Botswana,2,0,1,0,2038228,1019114
Ukraine,43,6,5,9,45644419,1061498
Slovakia,5,0,1,3,5445324,1089064
United States,271,46,29,29,313382000,1156391
Bahrain,1,0,0,1,1234571,1234571
Puerto Rico,3,0,1,1,3725789,1241929
Spain,36,3,10,4,46196278,1283229
North Korea,18,4,0,2,24052231,1336235
Canada,26,1,5,12,34771400,1337361
Finland,4,0,1,2,5407040,1351760
Tunisia,7,1,1,1,10673800,1524828
Dominican Republic,6,1,1,0,9378818,1563136
Japan,73,7,14,17,127650000,1748630
Moldova,2,0,0,2,3559500,1779750
Kenya,21,2,4,5,38610097,1838576
Poland,18,2,2,6,38501000,2138944
Bulgaria,3,0,1,1,7364570,2454856
Singapore,2,0,0,2,5183700,2591850
Iran,29,4,5,3,76309000,2631344
Belgium,4,0,1,2,10951266,2737816
South Africa,17,3,2,1,50586757,2975691
Colombia,14,1,3,4,46475000,3319642
Kuwait,1,0,0,1,3582054,3582054
Uzbekistan,7,1,0,3,29123400,4160485
Ethiopia,17,3,1,3,84320987,4960058
Argentina,8,1,1,2,40117096,5014637
Portugal,2,0,1,0,10561614,5280807
Greece,2,0,0,2,10787690,5393845
Turkey,13,2,2,1,74724269,5748020
China,229,38,27,23,1347350000,5883624
Brazil,31,3,5,9,192376496,6205693
Venezuela,4,1,0,0,27150095,6787523
Hong Kong,1,0,0,1,7103700,7103700
Guatemala,2,0,1,0,14713763,7356881
Tajikistan,1,0,0,1,7616000,7616000
Taiwan,3,0,1,1,23234003,7744667
Uganda,4,1,0,0,32939800,8234950
Mexico,13,1,3,3,112336538,8641272
Algeria,4,1,0,0,37100000,9275000
Malaysia,3,0,1,1,28334135,9444711
Thailand,5,0,2,1,65479453,13095890
Egypt,4,0,2,0,81927000,20481750
Afghanistan,1,0,0,1,24485600,24485600
Saudi Arabia,1,0,0,1,27136977,27136977
Morocco,1,0,0,1,32526800,32526800
Indonesia,3,0,1,1,237641326,79213775
India,8,0,2,4,1241491960,155186495